Date,Price
18-07-2010,0.1
19-07-2010,0.1
20-07-2010,0.1
21-07-2010,0.1
22-07-2010,0.1
23-07-2010,0.1
24-07-2010,0.1
25-07-2010,0.1
26-07-2010,0.1
27-07-2010,0.1
28-07-2010,0.1
29-07-2010,0.1
30-07-2010,0.1
31-07-2010,0.1
01-08-2010,0.1
02-08-2010,0.1
03-08-2010,0.1
04-08-2010,0.1
05-08-2010,0.1
06-08-2010,0.1
07-08-2010,0.1
08-08-2010,0.1
09-08-2010,0.1
10-08-2010,0.1
11-08-2010,0.1
12-08-2010,0.1
13-08-2010,0.1
14-08-2010,0.1
15-08-2010,0.1
16-08-2010,0.1
17-08-2010,0.1
18-08-2010,0.1
19-08-2010,0.1
20-08-2010,0.1
21-08-2010,0.1
22-08-2010,0.1
23-08-2010,0.1
24-08-2010,0.1
25-08-2010,0.1
26-08-2010,0.1
27-08-2010,0.1
28-08-2010,0.1
29-08-2010,0.1
30-08-2010,0.1
31-08-2010,0.1
01-09-2010,0.1
02-09-2010,0.1
03-09-2010,0.1
04-09-2010,0.1
05-09-2010,0.1
06-09-2010,0.1
07-09-2010,0.1
08-09-2010,0.1
09-09-2010,0.1
10-09-2010,0.1
11-09-2010,0.1
12-09-2010,0.1
13-09-2010,0.1
14-09-2010,0.1
15-09-2010,0.1
16-09-2010,0.1
17-09-2010,0.1
18-09-2010,0.1
19-09-2010,0.1
20-09-2010,0.1
21-09-2010,0.1
22-09-2010,0.1
23-09-2010,0.1
24-09-2010,0.1
25-09-2010,0.1
26-09-2010,0.1
27-09-2010,0.1
28-09-2010,0.1
29-09-2010,0.1
30-09-2010,0.1
01-10-2010,0.1
02-10-2010,0.1
03-10-2010,0.1
04-10-2010,0.1
05-10-2010,0.1
06-10-2010,0.1
07-10-2010,0.1
08-10-2010,0.1
09-10-2010,0.1
10-10-2010,0.1
11-10-2010,0.1
12-10-2010,0.1
13-10-2010,0.1
14-10-2010,0.1
15-10-2010,0.1
16-10-2010,0.1
17-10-2010,0.1
18-10-2010,0.1
19-10-2010,0.1
20-10-2010,0.1
21-10-2010,0.1
22-10-2010,0.1
23-10-2010,0.1
24-10-2010,0.1
25-10-2010,0.1
26-10-2010,0.2
27-10-2010,0.2
28-10-2010,0.2
29-10-2010,0.2
30-10-2010,0.2
31-10-2010,0.2
01-11-2010,0.2
02-11-2010,0.2
03-11-2010,0.2
04-11-2010,0.2
05-11-2010,0.3
06-11-2010,0.4
07-11-2010,0.3
08-11-2010,0.2
09-11-2010,0.2
10-11-2010,0.2
11-11-2010,0.2
12-11-2010,0.3
13-11-2010,0.3
14-11-2010,0.3
15-11-2010,0.3
16-11-2010,0.2
17-11-2010,0.2
18-11-2010,0.3
19-11-2010,0.3
20-11-2010,0.3
21-11-2010,0.3
22-11-2010,0.3
23-11-2010,0.3
24-11-2010,0.3
25-11-2010,0.3
26-11-2010,0.3
27-11-2010,0.3
28-11-2010,0.3
29-11-2010,0.2
30-11-2010,0.2
01-12-2010,0.2
02-12-2010,0.3
03-12-2010,0.3
04-12-2010,0.2
05-12-2010,0.2
06-12-2010,0.2
07-12-2010,0.2
08-12-2010,0.2
09-12-2010,0.2
10-12-2010,0.2
11-12-2010,0.2
12-12-2010,0.2
13-12-2010,0.2
14-12-2010,0.2
15-12-2010,0.2
16-12-2010,0.3
17-12-2010,0.2
18-12-2010,0.2
19-12-2010,0.2
20-12-2010,0.3
21-12-2010,0.2
22-12-2010,0.3
23-12-2010,0.3
24-12-2010,0.2
25-12-2010,0.2
26-12-2010,0.3
27-12-2010,0.3
28-12-2010,0.3
29-12-2010,0.3
30-12-2010,0.3
31-12-2010,0.3
01-01-2011,0.3
02-01-2011,0.3
03-01-2011,0.3
04-01-2011,0.3
05-01-2011,0.3
06-01-2011,0.3
07-01-2011,0.3
08-01-2011,0.3
09-01-2011,0.3
10-01-2011,0.3
11-01-2011,0.3
12-01-2011,0.3
13-01-2011,0.3
14-01-2011,0.4
15-01-2011,0.4
16-01-2011,0.4
17-01-2011,0.3
18-01-2011,0.3
19-01-2011,0.3
20-01-2011,0.4
21-01-2011,0.4
22-01-2011,0.4
23-01-2011,0.4
24-01-2011,0.4
25-01-2011,0.4
26-01-2011,0.4
27-01-2011,0.4
28-01-2011,0.4
29-01-2011,0.4
30-01-2011,0.5
31-01-2011,0.5
01-02-2011,0.7
02-02-2011,0.7
03-02-2011,0.7
04-02-2011,0.8
05-02-2011,0.9
06-02-2011,0.9
07-02-2011,0.9
08-02-2011,0.9
09-02-2011,1.1
10-02-2011,1.0
11-02-2011,1.1
12-02-2011,1.1
13-02-2011,1.0
14-02-2011,1.1
15-02-2011,1.0
16-02-2011,1.0
17-02-2011,1.0
18-02-2011,0.9
19-02-2011,0.9
20-02-2011,0.9
21-02-2011,0.8
22-02-2011,0.9
23-02-2011,0.9
24-02-2011,1.0
25-02-2011,0.9
26-02-2011,1.0
27-02-2011,0.9
28-02-2011,0.9
01-03-2011,0.9
02-03-2011,0.9
03-03-2011,0.9
04-03-2011,0.9
05-03-2011,0.9
06-03-2011,0.9
07-03-2011,0.9
08-03-2011,0.9
09-03-2011,0.9
10-03-2011,0.9
11-03-2011,0.9
12-03-2011,0.9
13-03-2011,0.9
14-03-2011,0.9
15-03-2011,0.9
16-03-2011,0.9
17-03-2011,0.8
18-03-2011,0.8
19-03-2011,0.8
20-03-2011,0.7
21-03-2011,0.8
22-03-2011,0.8
23-03-2011,0.8
24-03-2011,0.9
25-03-2011,0.9
26-03-2011,0.9
27-03-2011,0.8
28-03-2011,0.8
29-03-2011,0.8
30-03-2011,0.8
31-03-2011,0.8
01-04-2011,0.8
02-04-2011,0.8
03-04-2011,0.8
04-04-2011,0.7
05-04-2011,0.7
06-04-2011,0.7
07-04-2011,0.8
08-04-2011,0.8
09-04-2011,0.7
10-04-2011,0.7
11-04-2011,0.8
12-04-2011,0.9
13-04-2011,0.9
14-04-2011,1.0
15-04-2011,1.0
16-04-2011,1.0
17-04-2011,1.1
18-04-2011,1.2
19-04-2011,1.2
20-04-2011,1.1
21-04-2011,1.2
22-04-2011,1.4
23-04-2011,1.7
24-04-2011,1.6
25-04-2011,1.6
26-04-2011,1.8
27-04-2011,1.9
28-04-2011,2.2
29-04-2011,2.9
30-04-2011,3.5
01-05-2011,3.0
02-05-2011,3.2
03-05-2011,3.4
